caseNumber,p_minus_r,p_interruptions,p_words,p_times,p_laughter,p_num_counsel,p_num_int_by,r_interruptions,r_words,r_times,r_laughter,r_num_counsel,r_num_int_by,j_interruptions,j_words,j_times,j_laughter,j_num_int_by,side,margin,j_num
08-1314,-0.003309431880860452,0.004964147821290678,88.4390243902439,0.011307225592939878,0,2,6,0.00827357970215113,74.78048780487805,0.013237727523441808,0,1,6,0.0011031439602868175,73,0.024820739106453393,0.0002757859900717044,2,1,8,8
13-628,0,0.011542497376705142,32.86206896551724,0.030430220356768102,0,1,7,0.011542497376705142,55.91379310344828,0.026232948583420776,0,1,7,0.005771248688352571,83.96551724137932,0.06190975865687303,0.0005246589716684155,5,0,3,9
14-723,0.0015224010439321444,0.005002174858634189,80.66666666666667,0.012396694214876033,0,2,7,0.0034797738147020443,68.47368421052632,0.007394519356241845,0,1,4,0.003044802087864289,55.19298245614035,0.0215311004784689,0.00021748586341887777,6,1,7,9
09-10245,-0.0008849557522123894,0.011946902654867256,33.23529411764706,0.03008849557522124,0,1,6,0.012831858407079646,43.779411764705884,0.02566371681415929,0,1,5,0.00663716814159292,70.67647058823529,0.060619469026548675,0.0004424778761061947,6,1,1,9
08-538,0.001051248357424441,0.006570302233902759,67.94642857142857,0.014717477003942181,0,2,6,0.005519053876478318,62.482142857142854,0.012352168199737189,0,1,7,0.0005256241787122207,72.39285714285714,0.02812089356110381,0,2,1,3,9
09-338,-0.0017714791851195753,0.010628875110717449,32.25714285714286,0.03100088573959256,0.0004428697962798937,1,7,0.012400354295837024,35.77142857142857,0.02878653675819309,0,1,5,0.003100088573959256,79.91428571428571,0.06465899025686449,0.0004428697962798937,4,1,3,9
09-893,-0.000609198903441974,0.0039597928723728295,76.34883720930233,0.013097776424002438,0,1,7,0.004568991775814804,72.44186046511628,0.01279317697228145,0,1,7,0.0027413950654888823,86.34883720930233,0.028023149558330795,0,5,1,1,9
12-873,0.002464788732394366,0.00528169014084507,76.75675675675676,0.013028169014084507,0,1,4,0.0028169014084507044,77.43243243243244,0.01232394366197183,0,1,5,0.0028169014084507044,101.83783783783784,0.02852112676056338,0.00035211267605633805,6,0,9,9
07-526,-0.0013698630136986297,0.005753424657534247,79.34782608695652,0.012602739726027398,0,1,6,0.007123287671232876,63.71739130434783,0.016986301369863014,0,1,6,0.0019178082191780822,91.78260869565217,0.03178082191780822,0.000273972602739726,3,1,3,9
13-483,0.0005015045135406222,0.004764292878635908,99.7,0.010030090270812437,0,2,7,0.004262788365095286,66.425,0.009779338014042127,0,2,6,0.0017552657973921766,71.825,0.020310932798395187,0,3,0,9,9
12-236,0.004262120404901438,0.006659563132658497,83.42222222222222,0.011987213638785296,0,1,7,0.002397442727757059,72.88888888888889,0.009856153436334577,0.0002663825253063399,1,4,0.002131060202450719,67.71111111111111,0.023441662226957913,0.0002663825253063399,4,0,9,9
12-1408,-0.0008813160987074032,0.0017626321974148062,154.72727272727272,0.006462984723854289,0,1,4,0.0026439482961222094,67.54545454545455,0.009400705052878966,0,1,5,0.0005875440658049354,62.36363636363637,0.01615746180963572,0,2,1,8,8
06-1498,-0.0002613012803762745,0.005226025607525477,62.73770491803279,0.015939378102952706,0.0002613012803762738,2,6,0.005487326887901751,45.91803278688525,0.011758557616932322,0.0002613012803762738,1,6,0.003135615364515286,60.278688524590166,0.029004442121766397,0.0007839038411288215,5,0,0,8
06-1456,0.002898550724637681,0.012560386473429951,37.40963855421687,0.026731078904991948,0,1,8,0.00966183574879227,34.18072289156626,0.020933977455716585,0,1,8,0.0025764895330112722,54.86746987951807,0.05056360708534621,0.0025764895330112722,3,1,9,9
07-665,-0.002605523710265764,0.007556018759770714,54.82857142857143,0.018238665971860343,0.0002605523710265763,2,6,0.010161542470036478,44.05714285714286,0.02058363731109953,0,1,7,0.0036477331943720686,77.27142857142857,0.039603960396039604,0.0005211047420531526,3,1,9,9
08-604,0.0012437810945273636,0.008706467661691543,56.421052631578945,0.017723880597014924,0,1,5,0.007462686567164179,57.08771929824562,0.017101990049751242,0,1,4,0.003109452736318408,78.6842105263158,0.03669154228855721,0.0009328358208955224,3,0,9,9
10-1042,0.006423258958755916,0.013860716700473293,37.44303797468354,0.026707234617985125,0,2,6,0.0074374577417173765,37.50632911392405,0.021636240703177823,0.0003380662609871535,1,4,0.0030425963488843813,62.936708860759495,0.04935767410412441,0,5,0,9,9
12-696,0.0018616196090598816,0.008687558175612783,48.833333333333336,0.020477815699658702,0.00031026993484331366,2,6,0.006825938566552901,36.45454545454545,0.019547005895128762,0.00031026993484331366,1,6,0.006515668631709587,77.25757575757575,0.04591995035681042,0.0015513496742165685,8,1,1,9
12-142,0.0034158838599487613,0.00740108169655565,71.6938775510204,0.01394819242812411,0,2,5,0.003985197836606889,69.89795918367346,0.011955593509820665,0,1,6,0.0014232849416453174,71.93877551020408,0.026757756902931966,0,5,1,1,9
09-587,0.003409478349812478,0.008182748039549948,40.178082191780824,0.024889191953631096,0,1,6,0.00477326968973747,52.136986301369866,0.018070235254006136,0.0006818956699624957,1,7,0.003068530514831231,57.821917808219176,0.04602795772246846,0.0010228435049437436,5,1,8,8
12-1146,-0.0011273957158962795,0.004697482149567831,71.91891891891892,0.013904547162720781,0.0003757985719654265,2,6,0.005824877865464111,71.93243243243244,0.015219842164599774,0.000751597143930853,1,8,0.003570086433671552,87.33783783783784,0.03006388575723412,0.000751597143930853,3,0,5,9
13-317,0.0016926201760324982,0.006431956668923494,62.851063829787236,0.015910629654705483,0,1,7,0.004739336492890996,79.80851063829788,0.014218009478672985,0,2,6,0.003385240352064997,80.17021276595744,0.03182125930941097,0,5,1,9,9
08-681,0.002294747577766446,0.004334523202447731,80.04081632653062,0.012493625701172871,0,1,7,0.002039775624681285,70.28571428571429,0.008924018357980621,0,1,4,0.0007649158592554819,71.59183673469387,0.022692503824579296,0.0005099439061703213,2,1,5,9
12-872,-0.0003240440699935187,0.005184705119896306,68.57777777777778,0.01458198314970836,0.0003240440699935191,1,7,0.005508749189889825,53.31111111111111,0.016526247569669476,0,1,8,0.005184705119896306,96.22222222222223,0.03337653920933247,0.0009721322099805574,5,0,9,9
12-1168,-0.0026627218934911247,0.007692307692307693,59.29824561403509,0.01686390532544379,0,1,6,0.010355029585798817,52.8421052631579,0.021301775147928994,0.000591715976331361,2,6,0.0035502958579881655,88.94736842105263,0.04053254437869822,0.0014792899408284023,5,1,9,9
07-455,-0.0028129395218002813,0.004922644163150493,43.09090909090909,0.023206751054852322,0.0007032348804500703,1,3,0.007735583684950774,52.27272727272727,0.02461322081575246,0.0007032348804500703,1,5,0.002109704641350211,78.78787878787878,0.051336146272855133,0.0014064697609001407,3,1,7,9
07-210,-0.0003018412315122245,0.002112888620585572,118.32142857142857,0.008451554482342288,0,1,3,0.0024147298520977964,114.89285714285714,0.00996076063990341,0,2,4,0.0009055236945366737,81.67857142857143,0.01931783881678237,0,3,0,9,9
13-1487,-0.0034482758620689655,0.006896551724137931,53.421052631578945,0.0187192118226601,0,1,6,0.010344827586206896,86.94736842105263,0.030049261083743842,0,1,6,0.007389162561576354,103.34210526315789,0.053201970443349754,0.001477832512315271,6,1,9,9
13-9026,0.003757380568974772,0.008588298443370907,69,0.014492753623188406,0,1,6,0.004830917874396135,60.629629629629626,0.011540526033279656,0,1,7,0.001610305958132045,71.92592592592592,0.027911969940955447,0.00026838432635534085,4,0,9,9
