"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2004-043","2004-043-01","2004-043-01-01","2004-043-01-01-01",4/27/2005,1,"544 U.S. 408","125 S. Ct. 1807","161 L. Ed. 2d 669","2005 U.S. LEXIS 3705",2004,1607,"Rehnquist","03-9627","JOHN A. PACE v. DAVID DIGUGLIELMO, SUPERINTENDENT, STATE CORRECTIONAL INSTITUTION AT GRATERFORD, et al.",2/28/2005,,215,,28,45,1,,,0,109,,23,,0,2,3,1,1,2,0,0,0,0,90480,9,1,0,4,,3,341,,102,102,1,5,4
"2004-044","2004-044-01","2004-044-01-01","2004-044-01-01-01",4/27/2005,1,"544 U.S. 431","125 S. Ct. 1788","161 L. Ed. 2d 687","2005 U.S. LEXIS 3706",2004,1607,"Rehnquist","03-388","DENNIS BATES, et al. v. DOW AGROSCIENCES LLC",1/10/2005,,152,,128,,1,,,0,120,,25,,0,5,2,2,1,5,0,1,0,0,100020,10,1,0,7,4,3,333,,103,102,1,7,2
"2004-045","2004-045-01","2004-045-01-01","2004-045-01-01-01",5/16/2005,1,"544 U.S. 460","125 S. Ct. 1885","161 L. Ed. 2d 796","2005 U.S. LEXIS 4174",2004,1607,"Rehnquist","03-1116","JENNIFER M. GRANHOLM, GOVERNOR OF MICHIGAN, et al. v. ELEANOR HEALD, et al.",12/7/2004,,211,,134,,1,,,0,81,,26,,0,11,2,2,3,2,0,0,0,0,80110,8,2,0,2,,1,111,,106,105,1,5,4
"2004-046","2004-046-01","2004-046-01-01","2004-046-01-01-01",5/23/2005,1,"544 U.S. 528","125 S. Ct. 2074","161 L. Ed. 2d 876","2005 U.S. LEXIS 4342",2004,1607,"Rehnquist","04-163","LINDA LINGLE, GOVERNOR OF HAWAII, et al. v. CHEVRON U.S.A. INC.",2/22/2005,,211,,198,,1,,,0,63,,29,,1,12,2,1,1,4,0,1,0,0,40070,4,2,0,2,,2,211,,104,102,1,9,0
"2004-047","2004-047-01","2004-047-01-01","2004-047-01-01-01",5/23/2005,1,"544 U.S. 550","125 S. Ct. 2055","161 L. Ed. 2d 896","2005 U.S. LEXIS 4343",2004,1607,"Rehnquist","03-1164","MIKE JOHANNS, SECRETARY OF AGRICULTURE, et al., v. LIVESTOCK MARKETING ASSOCIATION et al.",12/8/2004,,304,,152,,1,4,,0,115,,28,,0,12,2,2,1,5,0,1,0,0,30020,3,1,0,1,,2,200,,105,102,1,6,3
"2004-048","2004-048-01","2004-048-01-01","2004-048-01-01-01",5/23/2005,1,"544 U.S. 581","125 S. Ct. 2029","161 L. Ed. 2d 920","2005 U.S. LEXIS 4181",2004,1607,"Rehnquist","04-37","MICHAEL CLINGMAN, SECRETARY, OKLAHOMA STATE ELECTION BOARD, et al. v. ANDREA L. BEAVER et al.",1/19/2005,,4,42,251,,1,117,42,0,107,,30,,0,11,3,2,1,4,0,1,0,0,30010,3,1,0,2,,2,200,,108,102,1,6,3
"2004-049","2004-049-01","2004-049-01-01","2004-049-01-01-01",5/23/2005,1,"544 U.S. 622","125 S. Ct. 2007","161 L. Ed. 2d 953","2005 U.S. LEXIS 4180",2004,1607,"Rehnquist","04-5293","CARMAN L. DECK v. MISSOURI",3/1/2005,,100,,28,30,1,,,0,302,30,300,30,0,11,2,1,1,4,0,1,0,0,40010,4,2,0,2,7,2,230,,110,102,1,7,2
"2004-050","2004-050-01","2004-050-01-01","2004-050-01-01-01",5/23/2005,6,"544 U.S. 660","125 S. Ct. 2088","161 L. Ed. 2d 982","2005 U.S. LEXIS 4344",2004,1607,"Rehnquist","04-5928","JOSE ERNESTO MEDELLIN v. DOUG DRETKE, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",3/28/2005,,100,,28,51,1,,,0,121,,25,,0,11,9,1,1,9,0,0,0,0,90150,9,1,0,3,,,,,,102,1,5,4
"2004-051","2004-051-01","2004-051-01-01","2004-051-01-01-01",5/31/2005,1,"544 U.S. 696","125 S. Ct. 2129","161 L. Ed. 2d 1008","2005 U.S. LEXIS 4348",2004,1607,"Rehnquist","04-368","ARTHUR ANDERSEN LLP v. UNITED STATES",4/27/2005,,216,,27,,1,,,0,121,,25,,0,2,2,1,1,4,0,1,0,0,10220,1,2,0,4,,6,600,"18 U.S.C. § 1512",102,102,1,9,0
"2004-052","2004-052-01","2004-052-01-01","2004-052-01-01-01",5/31/2005,1,"544 U.S. 709","125 S. Ct. 2113","161 L. Ed. 2d 1020","2005 U.S. LEXIS 4346",2004,1607,"Rehnquist","03-9877","JON B. CUTTER, et al. v. REGINALD WILKINSON, DIRECTOR, OHIO DEPARTMENT OF REHABILITATION AND CORRECTION, et al.",3/21/2005,,215,,7,41,1,,,0,104,,26,,0,2,4,1,1,4,0,1,0,0,30170,3,2,0,2,,6,600,"42 U.S.C. § 2000",109,102,1,9,0
